Date,^DJI,^GSPC,^IXIC
2019-02-27,25985.16015625,2792.3798828125,7554.509765625
2019-02-28,25916.0,2784.489990234375,7532.52978515625
2019-03-01,26026.3203125,2803.68994140625,7595.35009765625
2019-03-04,25819.650390625,2792.81005859375,7577.56982421875
2019-03-05,25806.630859375,2789.64990234375,7576.35986328125
2019-03-06,25673.4609375,2771.449951171875,7505.919921875
2019-03-07,25473.23046875,2748.929931640625,7421.4599609375
2019-03-08,25450.240234375,2743.070068359375,7408.14013671875
2019-03-11,25650.880859375,2783.300048828125,7558.06005859375
2019-03-12,25554.66015625,2791.52001953125,7591.02978515625
2019-03-13,25702.890625,2810.919921875,7643.41015625
2019-03-14,25709.939453125,2808.47998046875,7630.91015625
2019-03-15,25848.869140625,2822.47998046875,7688.52978515625
2019-03-18,25914.099609375,2832.93994140625,7714.47998046875
2019-03-19,25887.380859375,2832.570068359375,7723.9501953125
2019-03-20,25745.669921875,2824.22998046875,7728.97021484375
2019-03-21,25962.509765625,2854.8798828125,7838.9599609375
2019-03-22,25502.3203125,2800.7099609375,7642.669921875
2019-03-25,25516.830078125,2798.360107421875,7637.5400390625
2019-03-26,25657.73046875,2818.4599609375,7691.52001953125
2019-03-27,25625.58984375,2805.3701171875,7643.3798828125
2019-03-28,25717.4609375,2815.43994140625,7669.169921875
2019-03-29,25928.6796875,2834.39990234375,7729.31982421875
2019-04-01,26258.419921875,2867.18994140625,7828.91015625
2019-04-02,26179.130859375,2867.239990234375,7848.68994140625
2019-04-03,26218.130859375,2873.39990234375,7895.5498046875
2019-04-04,26384.630859375,2879.389892578125,7891.77978515625
2019-04-05,26424.990234375,2892.739990234375,7938.68994140625
2019-04-08,26341.01953125,2895.77001953125,7953.8798828125
2019-04-09,26150.580078125,2878.199951171875,7909.27978515625
2019-04-10,26157.16015625,2888.2099609375,7964.240234375
2019-04-11,26143.05078125,2888.320068359375,7947.35986328125
2019-04-12,26412.30078125,2907.409912109375,7984.16015625
2019-04-15,26384.76953125,2905.580078125,7976.009765625
2019-04-16,26452.66015625,2907.06005859375,8000.22998046875
2019-04-17,26449.5390625,2900.449951171875,7996.080078125
2019-04-18,26559.5390625,2905.030029296875,7998.06005859375
2019-04-22,26511.05078125,2907.969970703125,8015.27001953125
2019-04-23,26656.390625,2933.679931640625,8120.81982421875
2019-04-24,26597.05078125,2927.25,8102.009765625
2019-04-25,26462.080078125,2926.169921875,8118.68017578125
2019-04-26,26543.330078125,2939.8798828125,8146.39990234375
2019-04-29,26554.390625,2943.030029296875,8161.85009765625
2019-04-30,26592.91015625,2945.830078125,8095.39013671875
2019-05-01,26430.140625,2923.72998046875,8049.64013671875
2019-05-02,26307.7890625,2917.52001953125,8036.77001953125
2019-05-03,26504.94921875,2945.639892578125,8164.0
2019-05-06,26438.48046875,2932.469970703125,8123.2900390625
2019-05-07,25965.08984375,2884.050048828125,7963.759765625
2019-05-08,25967.330078125,2879.419921875,7943.31982421875
2019-05-09,25828.359375,2870.719970703125,7910.58984375
2019-05-10,25942.369140625,2881.39990234375,7916.93994140625
2019-05-13,25324.990234375,2811.8701171875,7647.02001953125
2019-05-14,25532.05078125,2834.409912109375,7734.490234375
2019-05-15,25648.01953125,2850.9599609375,7822.14990234375
2019-05-16,25862.6796875,2876.320068359375,7898.0498046875
2019-05-17,25764.0,2859.530029296875,7816.27978515625
2019-05-20,25679.900390625,2840.22998046875,7702.3798828125
2019-05-21,25877.330078125,2864.360107421875,7785.72021484375
2019-05-22,25776.609375,2856.27001953125,7750.83984375
2019-05-23,25490.470703125,2822.239990234375,7628.27978515625
2019-05-24,25585.689453125,2826.06005859375,7637.009765625
2019-05-28,25347.76953125,2802.389892578125,7607.35009765625
2019-05-29,25126.41015625,2783.02001953125,7547.31005859375
2019-05-30,25169.880859375,2788.860107421875,7567.72021484375
2019-05-31,24815.0390625,2752.06005859375,7453.14990234375
2019-06-03,24819.779296875,2744.449951171875,7333.02001953125
2019-06-04,25332.1796875,2803.27001953125,7527.1201171875
2019-06-05,25539.5703125,2826.14990234375,7575.47998046875
2019-06-06,25720.66015625,2843.489990234375,7615.5498046875
2019-06-07,25983.939453125,2873.340087890625,7742.10009765625
2019-06-10,26062.6796875,2886.72998046875,7823.169921875
2019-06-11,26048.509765625,2885.719970703125,7822.56982421875
2019-06-12,26004.830078125,2879.840087890625,7792.72021484375
2019-06-13,26106.76953125,2891.639892578125,7837.1298828125
2019-06-14,26089.609375,2886.97998046875,7796.66015625
2019-06-17,26112.529296875,2889.669921875,7845.02001953125
2019-06-18,26465.5390625,2917.75,7953.8798828125
2019-06-19,26504.0,2926.4599609375,7987.31982421875
2019-06-20,26753.169921875,2954.179931640625,8051.33984375
2019-06-21,26719.130859375,2950.4599609375,8031.7099609375
2019-06-24,26727.5390625,2945.35009765625,8005.7001953125
2019-06-25,26548.220703125,2917.3798828125,7884.72021484375
2019-06-26,26536.8203125,2913.780029296875,7909.97021484375
2019-06-27,26526.580078125,2924.919921875,7967.759765625
2019-06-28,26599.9609375,2941.760009765625,8006.240234375
2019-07-01,26717.4296875,2964.330078125,8091.16015625
2019-07-02,26786.6796875,2973.010009765625,8109.08984375
2019-07-03,26966.0,2995.820068359375,8170.22998046875
2019-07-05,26922.119140625,2990.409912109375,8161.7900390625
2019-07-08,26806.140625,2975.949951171875,8098.3798828125
2019-07-09,26783.490234375,2979.6298828125,8141.72998046875
2019-07-10,26860.19921875,2993.070068359375,8202.5302734375
2019-07-11,27088.080078125,2999.909912109375,8196.0400390625
2019-07-12,27332.029296875,3013.77001953125,8244.1396484375
2019-07-15,27359.16015625,3014.300048828125,8258.1904296875
2019-07-16,27335.630859375,3004.0400390625,8222.7998046875
2019-07-17,27219.849609375,2984.419921875,8185.2099609375
2019-07-18,27222.970703125,2995.110107421875,8207.240234375
2019-07-19,27154.19921875,2976.610107421875,8146.490234375
2019-07-22,27171.900390625,2985.030029296875,8204.1396484375
2019-07-23,27349.189453125,3005.469970703125,8251.400390625
2019-07-24,27269.970703125,3019.56005859375,8321.5
2019-07-25,27140.98046875,3003.669921875,8238.5400390625
2019-07-26,27192.44921875,3025.860107421875,8330.2099609375
2019-07-29,27221.349609375,3020.969970703125,8293.330078125
2019-07-30,27198.01953125,3013.179931640625,8273.6103515625
2019-07-31,26864.26953125,2980.3798828125,8175.419921875
2019-08-01,26583.419921875,2953.56005859375,8111.1201171875
2019-08-02,26485.009765625,2932.050048828125,8004.06982421875
2019-08-05,25717.740234375,2844.739990234375,7726.0400390625
2019-08-06,26029.51953125,2881.77001953125,7833.27001953125
2019-08-07,26007.0703125,2883.97998046875,7862.830078125
2019-08-08,26378.189453125,2938.090087890625,8039.16015625
2019-08-09,26287.439453125,2918.64990234375,7959.14013671875
2019-08-12,25896.439453125,2882.699951171875,7863.41015625
2019-08-13,26279.91015625,2926.320068359375,8016.35986328125
2019-08-14,25479.419921875,2840.60009765625,7773.93994140625
2019-08-15,25579.390625,2847.60009765625,7766.6201171875
2019-08-16,25886.009765625,2888.679931640625,7895.990234375
2019-08-19,26135.7890625,2923.64990234375,8002.81005859375
2019-08-20,25962.439453125,2900.510009765625,7948.56005859375
2019-08-21,26202.73046875,2924.429931640625,8020.2099609375
2019-08-22,26252.240234375,2922.949951171875,7991.39013671875
2019-08-23,25628.900390625,2847.110107421875,7751.77001953125
2019-08-26,25898.830078125,2878.3798828125,7853.740234375
2019-08-27,25777.900390625,2869.159912109375,7826.9501953125
2019-08-28,26036.099609375,2887.93994140625,7856.8798828125
2019-08-29,26362.25,2924.580078125,7973.39013671875
2019-08-30,26403.279296875,2926.4599609375,7962.8798828125
2019-09-03,26118.01953125,2906.27001953125,7874.16015625
2019-09-04,26355.470703125,2937.780029296875,7976.8798828125
2019-09-05,26728.150390625,2976.0,8116.830078125
2019-09-06,26797.4609375,2978.7099609375,8103.06982421875
2019-09-09,26835.509765625,2978.429931640625,8087.43994140625
2019-09-10,26909.4296875,2979.389892578125,8084.16015625
2019-09-11,27137.0390625,3000.929931640625,8169.68017578125
2019-09-12,27182.44921875,3009.570068359375,8194.4697265625
2019-09-13,27219.51953125,3007.389892578125,8176.7099609375
2019-09-16,27076.8203125,2997.9599609375,8153.5400390625
2019-09-17,27110.80078125,3005.699951171875,8186.02001953125
2019-09-18,27147.080078125,3006.72998046875,8177.39013671875
2019-09-19,27094.7890625,3006.7900390625,8182.8798828125
2019-09-20,26935.0703125,2992.070068359375,8117.669921875
2019-09-23,26949.990234375,2991.780029296875,8112.4599609375
2019-09-24,26807.76953125,2966.60009765625,7993.6298828125
2019-09-25,26970.7109375,2984.8701171875,8077.3798828125
2019-09-26,26891.119140625,2977.6201171875,8030.66015625
2019-09-27,26820.25,2961.7900390625,7939.6298828125
2019-09-30,26916.830078125,2976.739990234375,7999.33984375
2019-10-01,26573.0390625,2940.25,7908.68017578125
2019-10-02,26078.619140625,2887.610107421875,7785.25
2019-10-03,26201.0390625,2910.6298828125,7872.259765625
2019-10-04,26573.720703125,2952.010009765625,7982.47021484375
2019-10-07,26478.01953125,2938.7900390625,7956.2900390625
2019-10-08,26164.0390625,2893.06005859375,7823.77978515625
2019-10-09,26346.009765625,2919.39990234375,7903.740234375
2019-10-10,26496.669921875,2938.1298828125,7950.77978515625
2019-10-11,26816.58984375,2970.27001953125,8057.0400390625
2019-10-14,26787.359375,2966.14990234375,8048.64990234375
2019-10-15,27024.80078125,2995.679931640625,8148.7099609375
2019-10-16,27001.98046875,2989.68994140625,8124.18017578125
2019-10-17,27025.880859375,2997.949951171875,8156.85009765625
2019-10-18,26770.19921875,2986.199951171875,8089.5400390625
2019-10-21,26827.640625,3006.719970703125,8162.990234375
2019-10-22,26788.099609375,2995.989990234375,8104.2998046875
2019-10-23,26833.94921875,3004.52001953125,8119.7900390625
2019-10-24,26805.529296875,3010.2900390625,8185.7998046875
2019-10-25,26958.060546875,3022.550048828125,8243.1201171875
2019-10-28,27090.720703125,3039.419921875,8325.990234375
2019-10-29,27071.4609375,3036.889892578125,8276.849609375
2019-10-30,27186.689453125,3046.77001953125,8303.98046875
2019-10-31,27046.23046875,3037.56005859375,8292.3603515625
2019-11-01,27347.359375,3066.909912109375,8386.400390625
2019-11-04,27462.109375,3078.27001953125,8433.2001953125
2019-11-05,27492.630859375,3074.6201171875,8434.6796875
2019-11-06,27492.560546875,3076.780029296875,8410.6298828125
2019-11-07,27674.80078125,3085.179931640625,8434.51953125
2019-11-08,27681.240234375,3093.080078125,8475.3095703125
2019-11-11,27691.490234375,3087.010009765625,8464.2802734375
2019-11-12,27691.490234375,3091.840087890625,8486.08984375
2019-11-13,27783.58984375,3094.0400390625,8482.099609375
2019-11-14,27781.9609375,3096.6298828125,8479.01953125
2019-11-15,28004.890625,3120.4599609375,8540.830078125
2019-11-18,28036.220703125,3122.030029296875,8549.9404296875
2019-11-19,27934.01953125,3120.179931640625,8570.66015625
2019-11-20,27821.08984375,3108.4599609375,8526.73046875
2019-11-21,27766.2890625,3103.5400390625,8506.2099609375
2019-11-22,27875.619140625,3110.2900390625,8519.8798828125
2019-11-25,28066.470703125,3133.639892578125,8632.490234375
2019-11-26,28121.6796875,3140.52001953125,8647.9296875
2019-11-27,28164.0,3153.6298828125,8705.1796875
2019-11-29,28051.41015625,3140.97998046875,8665.4697265625
2019-12-02,27783.0390625,3113.8701171875,8567.990234375
2019-12-03,27502.810546875,3093.199951171875,8520.6396484375
2019-12-04,27649.779296875,3112.760009765625,8566.669921875
2019-12-05,27677.7890625,3117.429931640625,8570.7001953125
2019-12-06,28015.060546875,3145.909912109375,8656.5302734375
2019-12-09,27909.599609375,3135.9599609375,8621.830078125
2019-12-10,27881.720703125,3132.52001953125,8616.1796875
2019-12-11,27911.30078125,3141.6298828125,8654.0498046875
2019-12-12,28132.05078125,3168.570068359375,8717.3203125
2019-12-13,28135.380859375,3168.800048828125,8734.8798828125
2019-12-16,28235.890625,3191.449951171875,8814.23046875
2019-12-17,28267.16015625,3192.52001953125,8823.3603515625
2019-12-18,28239.279296875,3191.139892578125,8827.740234375
2019-12-19,28376.9609375,3205.3701171875,8887.2197265625
2019-12-20,28455.08984375,3221.219970703125,8924.9599609375
2019-12-23,28551.529296875,3224.010009765625,8945.650390625
2019-12-24,28515.44921875,3223.3798828125,8952.8798828125
2019-12-26,28621.390625,3239.909912109375,9022.3896484375
2019-12-27,28645.259765625,3240.02001953125,9006.6201171875
2019-12-30,28462.140625,3221.2900390625,8945.990234375
2019-12-31,28538.439453125,3230.780029296875,8972.599609375
2020-01-02,28868.80078125,3257.85009765625,9092.1904296875
2020-01-03,28634.880859375,3234.85009765625,9020.76953125
2020-01-06,28703.380859375,3246.280029296875,9071.4697265625
2020-01-07,28583.6796875,3237.179931640625,9068.580078125
2020-01-08,28745.08984375,3253.050048828125,9129.240234375
2020-01-09,28956.900390625,3274.699951171875,9203.4296875
2020-01-10,28823.76953125,3265.35009765625,9178.8603515625
2020-01-13,28907.05078125,3288.1298828125,9273.9296875
2020-01-14,28939.669921875,3283.14990234375,9251.330078125
2020-01-15,29030.220703125,3289.2900390625,9258.7001953125
2020-01-16,29297.640625,3316.81005859375,9357.1298828125
2020-01-17,29348.099609375,3329.6201171875,9388.9404296875
2020-01-21,29196.0390625,3320.7900390625,9370.8095703125
2020-01-22,29186.26953125,3321.75,9383.76953125
2020-01-23,29160.08984375,3325.5400390625,9402.48046875
2020-01-24,28989.73046875,3295.469970703125,9314.91015625
2020-01-27,28535.80078125,3243.6298828125,9139.3095703125
2020-01-28,28722.849609375,3276.239990234375,9269.6796875
2020-01-29,28734.44921875,3273.39990234375,9275.16015625
2020-01-30,28859.439453125,3283.659912109375,9298.9296875
2020-01-31,28256.029296875,3225.52001953125,9150.9404296875
2020-02-03,28399.810546875,3248.919921875,9273.400390625
2020-02-04,28807.630859375,3297.590087890625,9467.9697265625
2020-02-05,29290.849609375,3334.68994140625,9508.6796875
2020-02-06,29379.76953125,3345.780029296875,9572.150390625
2020-02-07,29102.509765625,3327.7099609375,9520.509765625
2020-02-10,29276.8203125,3352.090087890625,9628.3896484375
2020-02-11,29276.33984375,3357.75,9638.9404296875
2020-02-12,29551.419921875,3379.449951171875,9725.9599609375
2020-02-13,29423.310546875,3373.93994140625,9711.9697265625
2020-02-14,29398.080078125,3380.159912109375,9731.1796875
2020-02-18,29232.189453125,3370.2900390625,9732.740234375
2020-02-19,29348.029296875,3386.14990234375,9817.1796875
2020-02-20,29219.98046875,3373.22998046875,9750.9697265625
2020-02-21,28992.41015625,3337.75,9576.58984375
2020-02-24,27960.80078125,3225.889892578125,9221.2802734375
2020-02-25,27081.359375,3128.2099609375,8965.6103515625
2020-02-26,26957.58984375,3116.389892578125,8980.7802734375
2020-02-27,25766.640625,2978.760009765625,8566.48046875
2020-02-28,25409.359375,2954.219970703125,8567.3701171875
2020-03-02,26703.3203125,3090.22998046875,8952.169921875
2020-03-03,25917.41015625,3003.3701171875,8684.08984375
2020-03-04,27090.859375,3130.1201171875,9018.08984375
2020-03-05,26121.279296875,3023.93994140625,8738.58984375
2020-03-06,25864.779296875,2972.3701171875,8575.6201171875
2020-03-09,23851.01953125,2746.56005859375,7950.68017578125
2020-03-10,25018.16015625,2882.22998046875,8344.25
2020-03-11,23553.220703125,2741.3798828125,7952.0498046875
2020-03-12,21200.619140625,2480.639892578125,7201.7998046875
2020-03-13,23185.619140625,2711.02001953125,7874.8798828125
2020-03-16,20188.51953125,2386.1298828125,6904.58984375
2020-03-17,21237.380859375,2529.18994140625,7334.77978515625
2020-03-18,19898.919921875,2398.10009765625,6989.83984375
2020-03-19,20087.189453125,2409.389892578125,7150.580078125
2020-03-20,19173.98046875,2304.919921875,6879.52001953125
2020-03-23,18591.9296875,2237.39990234375,6860.669921875
2020-03-24,20704.91015625,2447.330078125,7417.85986328125
2020-03-25,21200.55078125,2475.56005859375,7384.2998046875
2020-03-26,22552.169921875,2630.070068359375,7797.5400390625
2020-03-27,21636.779296875,2541.469970703125,7502.3798828125
2020-03-30,22327.48046875,2626.64990234375,7774.14990234375
2020-03-31,21917.16015625,2584.590087890625,7700.10009765625
2020-04-01,20943.509765625,2470.5,7360.580078125
2020-04-02,21413.439453125,2526.89990234375,7487.31005859375
2020-04-03,21052.529296875,2488.64990234375,7373.080078125
2020-04-06,22679.990234375,2663.679931640625,7913.240234375
2020-04-07,22653.859375,2659.409912109375,7887.259765625
2020-04-08,23433.5703125,2749.97998046875,8090.89990234375
2020-04-09,23719.369140625,2789.820068359375,8153.580078125
2020-04-13,23390.76953125,2761.6298828125,8192.419921875
2020-04-14,23949.759765625,2846.06005859375,8515.740234375
2020-04-15,23504.349609375,2783.360107421875,8393.1796875
2020-04-16,23537.6796875,2799.550048828125,8532.3603515625
2020-04-17,24242.490234375,2874.56005859375,8650.1396484375
2020-04-20,23650.439453125,2823.159912109375,8560.73046875
2020-04-21,23018.880859375,2736.56005859375,8263.23046875
2020-04-22,23475.8203125,2799.31005859375,8495.3798828125
2020-04-23,23515.259765625,2797.800048828125,8494.75
2020-04-24,23775.26953125,2836.739990234375,8634.51953125
2020-04-27,24133.779296875,2878.47998046875,8730.16015625
2020-04-28,24101.55078125,2863.389892578125,8607.73046875
2020-04-29,24633.859375,2939.510009765625,8914.7099609375
2020-04-30,24345.720703125,2912.429931640625,8889.5498046875
2020-05-01,23723.689453125,2830.7099609375,8604.9501953125
2020-05-04,23749.759765625,2842.739990234375,8710.7099609375
2020-05-05,23883.08984375,2868.43994140625,8809.1201171875
2020-05-06,23664.640625,2848.419921875,8854.3896484375
2020-05-07,23875.890625,2881.18994140625,8979.66015625
2020-05-08,24331.3203125,2929.800048828125,9121.3203125
2020-05-11,24221.990234375,2930.18994140625,9192.33984375
2020-05-12,23764.779296875,2870.1201171875,9002.5498046875
2020-05-13,23247.970703125,2820.0,8863.169921875
2020-05-14,23625.33984375,2852.5,8943.7197265625
2020-05-15,23685.419921875,2863.699951171875,9014.5595703125
2020-05-18,24597.369140625,2953.909912109375,9234.830078125
2020-05-19,24206.859375,2922.93994140625,9185.099609375
2020-05-20,24575.900390625,2971.610107421875,9375.7802734375
2020-05-21,24474.119140625,2948.510009765625,9284.8798828125
2020-05-22,24465.16015625,2955.449951171875,9324.58984375
2020-05-26,24995.109375,2991.77001953125,9340.2197265625
2020-05-27,25548.26953125,3036.1298828125,9412.3603515625
2020-05-28,25400.640625,3029.72998046875,9368.990234375
2020-05-29,25383.109375,3044.31005859375,9489.8701171875
2020-06-01,25475.01953125,3055.72998046875,9552.0498046875
2020-06-02,25742.650390625,3080.820068359375,9608.3798828125
2020-06-03,26269.890625,3122.8701171875,9682.91015625
2020-06-04,26281.8203125,3112.35009765625,9615.8095703125
2020-06-05,27110.98046875,3193.929931640625,9814.080078125
2020-06-08,27572.439453125,3232.389892578125,9924.75
2020-06-09,27272.30078125,3207.179931640625,9953.75
2020-06-10,26989.990234375,3190.139892578125,10020.349609375
2020-06-11,25128.169921875,3002.10009765625,9492.73046875
2020-06-12,25605.5390625,3041.31005859375,9588.8095703125
2020-06-15,25763.16015625,3066.590087890625,9726.01953125
2020-06-16,26289.98046875,3124.739990234375,9895.8701171875
2020-06-17,26119.609375,3113.489990234375,9910.5302734375
2020-06-18,26080.099609375,3115.340087890625,9943.0498046875
2020-06-19,25871.4609375,3097.739990234375,9946.1201171875
2020-06-22,26024.9609375,3117.860107421875,10056.48046875
2020-06-23,26156.099609375,3131.2900390625,10131.3701171875
2020-06-24,25445.939453125,3050.330078125,9909.169921875
2020-06-25,25745.599609375,3083.760009765625,10017.0
2020-06-26,25015.55078125,3009.050048828125,9757.2197265625
2020-06-29,25595.80078125,3053.239990234375,9874.150390625
2020-06-30,25812.880859375,3100.2900390625,10058.76953125
2020-07-01,25734.970703125,3115.860107421875,10154.6298828125
2020-07-02,25827.359375,3130.010009765625,10207.6298828125
2020-07-06,26287.029296875,3179.719970703125,10433.650390625
2020-07-07,25890.1796875,3145.320068359375,10343.8896484375
2020-07-08,26067.279296875,3169.93994140625,10492.5
2020-07-09,25706.08984375,3152.050048828125,10547.75
2020-07-10,26075.30078125,3185.0400390625,10617.4404296875
2020-07-13,26085.80078125,3155.219970703125,10390.83984375
2020-07-14,26642.58984375,3197.52001953125,10488.580078125
2020-07-15,26870.099609375,3226.56005859375,10550.490234375
2020-07-16,26734.7109375,3215.570068359375,10473.830078125
2020-07-17,26671.94921875,3224.72998046875,10503.1904296875
2020-07-20,26680.869140625,3251.840087890625,10767.08984375
2020-07-21,26840.400390625,3257.300048828125,10680.3603515625
2020-07-22,27005.83984375,3276.02001953125,10706.1298828125
2020-07-23,26652.330078125,3235.659912109375,10461.419921875
2020-07-24,26469.890625,3215.6298828125,10363.1796875
2020-07-27,26584.76953125,3239.409912109375,10536.26953125
2020-07-28,26379.279296875,3218.43994140625,10402.08984375
2020-07-29,26539.5703125,3258.43994140625,10542.9404296875
2020-07-30,26313.650390625,3246.219970703125,10587.8095703125
2020-07-31,26428.3203125,3271.1201171875,10745.26953125
2020-08-03,26664.400390625,3294.610107421875,10902.7998046875
2020-08-04,26828.470703125,3306.510009765625,10941.169921875
2020-08-05,27201.51953125,3327.77001953125,10998.400390625
2020-08-06,27386.98046875,3349.159912109375,11108.0703125
2020-08-07,27433.48046875,3351.280029296875,11010.98046875
2020-08-10,27791.439453125,3360.469970703125,10968.3603515625
2020-08-11,27686.91015625,3333.68994140625,10782.8203125
2020-08-12,27976.83984375,3380.35009765625,11012.240234375
2020-08-13,27896.720703125,3373.429931640625,11042.5
2020-08-14,27931.01953125,3372.85009765625,11019.2998046875
2020-08-17,27844.91015625,3381.989990234375,11129.73046875
2020-08-18,27778.0703125,3389.780029296875,11210.83984375
2020-08-19,27692.880859375,3374.85009765625,11146.4599609375
2020-08-20,27739.73046875,3385.510009765625,11264.9501953125
2020-08-21,27930.330078125,3397.159912109375,11311.7998046875
2020-08-24,28308.4609375,3431.280029296875,11379.7197265625
2020-08-25,28248.439453125,3443.6201171875,11466.4697265625
2020-08-26,28331.919921875,3478.72998046875,11665.0595703125
2020-08-27,28492.26953125,3484.550048828125,11625.33984375
2020-08-28,28653.869140625,3508.010009765625,11695.6298828125
2020-08-31,28430.05078125,3500.31005859375,11775.4599609375
2020-09-01,28645.66015625,3526.64990234375,11939.669921875
2020-09-02,29100.5,3580.840087890625,12056.4404296875
2020-09-03,28292.73046875,3455.06005859375,11458.099609375
2020-09-04,28133.310546875,3426.9599609375,11313.1298828125
2020-09-08,27500.890625,3331.840087890625,10847.6904296875
2020-09-09,27940.470703125,3398.9599609375,11141.5595703125
2020-09-10,27534.580078125,3339.18994140625,10919.58984375
2020-09-11,27665.640625,3340.969970703125,10853.5498046875
2020-09-14,27993.330078125,3383.5400390625,11056.650390625
2020-09-15,27995.599609375,3401.199951171875,11190.3203125
2020-09-16,28032.380859375,3385.489990234375,11050.4697265625
2020-09-17,27901.98046875,3357.010009765625,10910.2802734375
2020-09-18,27657.419921875,3319.469970703125,10793.2802734375
2020-09-21,27147.69921875,3281.06005859375,10778.7998046875
2020-09-22,27288.1796875,3315.570068359375,10963.6396484375
2020-09-23,26763.130859375,3236.919921875,10632.990234375
2020-09-24,26815.439453125,3246.590087890625,10672.26953125
2020-09-25,27173.9609375,3298.4599609375,10913.5595703125
2020-09-28,27584.060546875,3351.60009765625,11117.5302734375
2020-09-29,27452.66015625,3335.469970703125,11085.25
2020-09-30,27781.69921875,3363.0,11167.509765625
2020-10-01,27816.900390625,3380.800048828125,11326.509765625
2020-10-02,27682.810546875,3348.419921875,11075.01953125
2020-10-05,28148.640625,3408.60009765625,11332.490234375
2020-10-06,27772.759765625,3360.969970703125,11154.599609375
2020-10-07,28303.4609375,3419.43994140625,11364.599609375
2020-10-08,28425.509765625,3446.830078125,11420.98046875
2020-10-09,28586.900390625,3477.139892578125,11579.9404296875
2020-10-12,28837.51953125,3534.219970703125,11876.259765625
2020-10-13,28679.810546875,3511.929931640625,11863.900390625
2020-10-14,28514.0,3488.669921875,11768.73046875
2020-10-15,28494.19921875,3483.340087890625,11713.8701171875
2020-10-16,28606.310546875,3483.81005859375,11671.5595703125
2020-10-19,28195.419921875,3426.919921875,11478.8798828125
2020-10-20,28308.7890625,3443.1201171875,11516.490234375
